repo,pr,driver_preference,risk_class,outcome_class,state,age_or_delta_hours,title,head_ref,created_at,merged_at
xenota-collective/xenon,501,xsm-internal,landing_protocol,merged,MERGED,0.01,xc-dbyw.156: add refinement fixture landing reviewer receipt digest tests,xsm/xc-dbyw.156-landing-reviewer-receipt-digest-tests,2026-04-26T08:56:28Z,2026-04-26T08:57:21Z
xenota-collective/xenon,502,xsm-internal,production_security,merged,MERGED,0.03,xc-dbyw.157: add refinement fixture release audit note digest tests,xsm/xc-dbyw.157-release-audit-note-digest-tests,2026-04-26T09:23:25Z,2026-04-26T09:25:08Z
xenota-collective/xenon,503,gemini,unclassified,merged,MERGED,0.02,xc-pnwt: bound chat-server artifact listing resource usage,gemini/xc-pnwt-bound-chat-server-artifact-listing,2026-04-26T09:30:12Z,2026-04-26T09:31:29Z
xenota-collective/xenon,504,xsm-internal,xsm_control_plane,merged,MERGED,0.02,xc-2o6k: protect chat-server artifact inspection endpoints,xsm/xc-2o6k-protect-chat-server-inspection,2026-04-26T09:37:28Z,2026-04-26T09:38:53Z
xenota-collective/xenon,505,xsm-internal,landing_protocol,merged,MERGED,0.02,xc-aih1: capture late bot review feedback after auto-merge,xsm/xc-aih1-late-review-feedback,2026-04-26T09:44:53Z,2026-04-26T09:46:15Z
xenota-collective/xenon,506,xsm-internal,xsm_control_plane,merged,MERGED,0.03,xc-zn5l: add duplicate dispatch claim lock tests,xsm/xc-zn5l-duplicate-dispatch-claim-locking,2026-04-26T09:45:50Z,2026-04-26T09:47:28Z
xenota-collective/xenon,507,gemini,landing_protocol,merged,MERGED,0.02,xc-zc8r: enforce quality gates during pack/export,gemini/xc-zc8r-xrs-quality-gates,2026-04-26T09:46:24Z,2026-04-26T09:47:25Z
xenota-collective/xenon,508,xsm-internal,xsm_control_plane,merged,MERGED,0.02,xc-hy5r: add driver preference fixtures,xsm/xc-hy5r-driver-preference-dispatch-fixtures,2026-04-26T09:55:53Z,2026-04-26T09:57:11Z
xenota-collective/xenon,509,xsm-internal,xsm_control_plane,merged,MERGED,0.03,xc-6hlr: quote and validate vps-control remote command helpers,xsm/xc-6hlr-quote-remote-commands,2026-04-26T10:07:24Z,2026-04-26T10:09:02Z
xenota-collective/xenon,510,xsm-internal,xsm_control_plane,merged,MERGED,0.05,xc-i3t0: add staged bead pipeline strategy,xsm/xc-i3t0-staged-bead-pipeline-strategy,2026-04-26T10:08:14Z,2026-04-26T10:11:22Z
